TotalTime,PictureClicks,PictureTime,DescriptionClicks,DescriptionTime,ReviewClicks,ReviewTime,DwellingTime,Return
73694,5,5127,1,11645,10,17642,5127,0
13716,0,8985,2,11198,2,2121,144,1
70446,4,8348,3,12150,12,7031,8348,0
20870,3,9189,2,12562,2,11235,9189,1
5629,3,6948,1,7903,3,3358,821,1
47024,5,7905,2,11371,7,9529,7905,0
5332,1,4020,3,14299,0,8465,5087,1
46341,5,11219,2,6549,2,17830,10775,1
49226,4,28541,1,19154,2,20515,22283,0
77811,5,14574,1,17460,13,6227,14574,0
24546,3,14710,0,1938,0,8651,10766,1
48765,5,20989,1,5802,14,13460,19336,0
44219,3,13917,1,8921,8,27446,13917,0
23265,3,14624,1,12677,3,2708,13761,1
20199,3,18126,2,7566,0,2863,17318,1
74073,3,5066,2,4312,7,26648,5066,0
9670,2,17380,3,6399,2,9982,10775,0
46581,4,21683,1,6005,6,15516,6760,0
43844,4,12764,3,7832,7,21285,12764,0
35987,0,18141,3,5814,8,11344,4508,0
30435,1,4344,2,11287,2,10714,4344,1
36537,3,4496,1,1866,2,4225,4496,1
33471,0,19350,2,9243,3,4078,3486,1
24777,4,1622,0,3182,3,1602,1622,1
52523,0,24629,3,18627,13,23670,10775,1
5685,3,13236,0,8395,2,12781,2264,1
76562,4,26803,2,12004,15,12922,7407,0
20643,2,4163,2,4139,3,3828,4163,1
18637,1,24711,0,7959,9,28838,10775,0
78274,4,13659,2,6859,12,12252,13659,0
49956,3,25556,1,10677,13,17252,6076,0
16063,3,11252,2,9156,1,1339,8901,1
28086,2,18882,2,3544,2,14944,7205,1
30805,3,4142,0,5790,1,5664,4142,1
51436,5,17517,1,17117,4,23999,10775,0
27521,3,16671,1,4191,3,6848,16671,1
56001,5,11235,1,14342,14,8785,11235,0
65377,4,10868,2,15837,5,12310,10868,0
24448,0,18788,0,4523,3,3409,9814,1
11420,4,8369,1,12943,2,98,8369,1
77022,5,13040,2,9274,14,18897,7146,0
46352,3,26503,1,18437,4,5141,26402,0
18803,0,1180,0,2780,1,4928,1180,1
72330,5,22018,3,12116,15,12929,22018,0
43836,3,20051,3,6366,13,26669,20051,0
36625,2,19938,1,13307,3,12401,14627,1
9407,2,11350,0,1038,0,10923,11350,1
22628,1,2977,1,9248,1,1876,2977,1
26690,2,3995,0,11798,3,6744,3995,1
33530,5,15266,1,9527,1,28633,10775,1
49270,5,16485,3,6033,12,5560,11917,0
33315,4,29281,2,17291,9,21145,18837,0
40363,5,14682,3,12951,10,20228,14682,0
8459,0,5490,0,14165,8,6416,10775,0
24547,4,16047,0,5320,1,6302,4792,1
32103,5,16157,2,7159,2,7241,16157,0
2696,4,25793,0,18370,6,13990,10775,0
78338,2,23772,0,6617,0,4930,7913,1
30779,4,25391,3,10111,14,17535,22773,0
31208,3,4304,3,11535,15,21841,10775,0
22982,4,17635,0,10017,2,2789,13744,1
24188,4,6295,2,12134,4,22375,6295,0
43270,4,10479,0,10305,2,12689,8360,1
30798,0,10621,1,432,1,5704,3384,1
25965,3,23584,3,6507,12,7431,7337,0
14010,5,22108,0,9229,8,24386,4122,1
21703,4,8568,3,4393,2,5509,8568,0
58543,5,6761,2,15711,12,11056,6761,0
10107,3,11375,1,1358,2,7414,11375,1
56750,3,20655,2,19628,8,12389,20655,0
40210,4,1755,2,1444,2,12383,1755,1
25376,4,6855,1,5948,0,9299,1000,1
42365,3,14270,1,14344,0,10537,12116,1
54928,3,16117,1,4188,5,4659,13080,0
65302,4,6616,2,17768,13,2339,10775,0
53589,4,10656,1,13102,13,28521,6873,0
4873,3,8682,0,12016,2,2215,3139,1
75485,4,22924,1,9662,9,24730,22924,0
33785,5,14892,3,10227,6,25392,12590,0
68909,5,27932,3,19729,7,25346,20553,0
38153,2,11576,2,8994,1,8323,11576,1
27204,2,14583,1,2337,1,13506,406,1
73614,4,27288,1,9821,7,12244,5325,0
12695,2,28494,3,261,5,2236,10775,1
7315,2,19637,1,11317,2,6846,7946,1
78898,1,13048,0,18704,9,20823,10775,1
25441,2,9330,2,7715,1,6645,473,1
29196,0,10276,2,13652,2,3888,9967,1
38720,0,17649,2,7138,0,4969,15201,1
23002,4,27959,1,18089,9,22306,25195,0
71709,4,28997,3,16292,15,5324,28453,0
35608,3,9176,1,14285,3,6958,3433,1
78962,5,9787,1,11290,7,23539,9430,0
74240,4,21518,1,7052,3,4765,10202,0
50251,4,17272,1,7305,5,28901,16248,0
10071,5,13230,3,3808,6,17344,6972,0
19296,1,15528,2,3137,5,1598,4889,1
31418,2,12954,0,8116,2,3658,2492,1
11510,3,9765,0,12550,3,14171,6079,1
49918,5,19405,2,10577,15,19870,17414,0
54423,1,12476,2,8214,0,23541,1964,1
23263,2,784,1,13242,1,9408,784,1
35274,4,18789,2,8723,1,14713,2832,1
53655,3,22765,3,18055,5,22932,12738,0
68719,4,27660,3,4102,12,16263,7972,0
8322,2,2182,2,11582,2,13165,2182,1
45766,5,8863,3,9255,8,21155,8863,0
75980,4,19655,3,13489,9,13115,9641,0
31173,2,411,1,1122,3,7872,411,1
30445,5,26118,1,8780,7,24918,26118,0
62777,4,27500,3,5048,14,17923,20683,0
53230,4,13726,2,8905,5,6344,11512,0
26284,3,8153,3,8395,3,28208,8153,0
27608,3,14104,2,19606,4,4246,10657,0
32444,1,12153,1,10545,2,3077,11346,1
69500,3,26980,3,10066,5,17898,22147,0
55366,2,4738,3,6055,9,7709,10775,1
10213,2,8581,0,3656,2,9611,8581,1
70835,5,15988,1,12734,13,7682,15988,0
18763,4,2430,2,13238,1,5948,1732,1
49156,4,5188,0,313,9,18494,10775,1
47699,0,11796,1,1112,1,1054,5355,0
41883,3,29613,2,13222,9,24731,26491,0
23042,5,21078,1,7132,7,23882,5788,0
29462,3,9748,2,5599,3,7450,9748,1
36354,5,24243,2,5707,6,18770,10886,0
55964,3,15122,1,19064,7,26573,15122,0
15238,1,28360,2,2176,12,29718,10775,1
5945,3,1503,1,7254,2,6572,1503,1
32962,4,5525,1,6347,0,6450,5525,1
72692,5,26464,3,12555,8,15512,23628,0
33727,3,5606,0,8287,1,1532,5606,1
79528,3,15033,2,18133,7,24574,15033,0
65174,5,9193,1,7748,5,12412,9193,0
3178,4,16565,1,7887,1,5251,13894,1
41401,0,8808,2,1632,3,9722,3204,1
39340,3,9398,3,7228,8,4569,9398,0
52130,3,25171,2,13771,2,20798,25171,0
29688,2,2741,1,6022,1,10014,2741,1
35077,1,3943,0,14468,1,11506,3790,1
3865,3,27414,3,4650,9,28668,10775,0
75292,5,24148,1,12904,9,5866,16531,0
77085,5,29783,2,19081,4,21761,20883,0
78564,3,19507,3,18285,5,19262,19507,0
18605,1,1038,2,835,0,6735,1038,1
66032,3,23282,2,9912,3,22702,7969,0
57653,4,23604,2,12648,2,11373,23604,0
25653,0,18825,0,2192,14,26017,10775,1
52022,4,24218,3,13622,15,22408,24218,0
13800,3,898,0,12141,3,4686,898,1
16088,2,18404,1,13534,1,4067,10203,1
27993,4,14952,3,14904,13,10564,14952,0
42276,4,1504,2,5885,2,7496,1504,1
34303,5,12761,2,7815,2,8962,12761,0
29943,0,18449,2,13329,3,14032,7754,1
44065,1,14628,0,13156,2,9524,4978,1
69853,2,8025,0,19976,4,11179,5570,0
36456,4,28462,1,19835,10,5264,6166,0
36657,3,21821,2,16606,8,18048,14418,0
49347,3,22290,2,19025,6,17444,8604,0
39738,4,8225,1,11768,1,8311,6088,1
27030,5,22253,2,8538,14,24860,9572,0
10333,2,921,0,7701,3,14970,921,1
36309,4,15553,1,8932,13,12286,15553,0
51008,4,10559,1,15348,3,16945,10559,0
52514,4,15387,1,11974,10,9475,14682,0
74959,5,6739,3,7557,10,29115,6739,0
24667,5,12610,2,6395,14,12504,930,1
34524,3,28429,2,6607,13,19677,28429,0
29258,4,24985,1,19754,3,5938,9697,0
41224,0,6716,2,8941,2,5581,6716,1
75635,5,19790,1,11230,9,13584,5667,0
67156,3,28878,2,1002,14,855,10775,0
67173,3,25893,2,15912,5,28610,23624,0
12736,0,7645,0,415,2,4877,5540,1
10426,1,9335,1,10370,2,10195,9335,1
12351,0,85,2,10793,2,7557,85,1
33877,4,5956,1,9849,1,10598,5956,1
25847,1,15072,2,1784,1,10956,10599,1
6132,2,21150,3,15863,9,21766,10775,0
9301,4,734,2,1374,0,14658,734,1
57561,5,20291,1,4875,13,22229,16957,0
20560,2,8717,2,6274,1,8100,8717,1
67748,2,4544,3,12422,11,14284,10775,1
38084,0,13632,2,12524,1,11998,4335,1
29572,4,4524,0,4324,1,7091,1048,1
28377,3,8967,2,8312,6,14142,8967,0
5923,0,4292,0,686,1,9802,1839,1
27969,5,659,3,479,10,1102,10775,0
52562,3,24259,3,14731,4,8682,10031,0
67340,3,11182,3,6455,15,13296,11182,0
21651,3,11739,1,12447,1,14384,7606,1
48882,1,6190,1,13209,3,16916,1718,0
41967,5,23784,2,5753,15,26042,23784,0
16026,3,9748,0,6510,1,10251,7455,1
38865,3,14060,0,477,3,730,11892,1
31118,1,2753,0,11126,2,13579,2753,1
34554,1,14588,0,11042,6,23144,3078,0
47928,3,29158,2,16257,4,17279,9663,0
24119,1,13849,1,6521,1,13807,13849,1
11391,1,4947,2,8988,0,13849,3833,1
53984,4,16783,2,5911,8,22275,11616,0
10097,2,17489,1,14676,0,5199,12265,1
34602,4,15087,0,13613,3,3769,4346,1
20675,3,25114,0,10947,0,24818,8742,1
23190,4,19030,0,2112,0,6044,14661,1
74563,0,6681,1,3166,12,28510,4338,1
37583,1,17259,0,1743,3,14687,5655,1
41569,4,19544,1,6187,2,14581,19476,1
32947,5,21640,2,8301,1,4294,10775,0
29763,4,15760,1,5518,14,29029,14854,0
34270,1,4818,2,854,0,14986,4818,1
56410,5,22854,3,1693,14,21915,10775,1
36233,3,14295,1,13550,0,5207,12714,1
28382,1,13549,0,12231,3,8448,13549,1
34040,4,16847,2,2867,0,1995,1354,1
74225,3,27808,2,17221,3,23684,18763,0
51250,3,15251,3,5467,7,24943,11371,0
70689,5,17467,1,7532,3,17754,17467,0
74628,5,15774,2,9377,8,28941,6874,0
65192,3,26208,3,8076,2,18871,5254,0
34712,4,25331,3,7824,9,14240,9517,0
77326,3,6480,1,6438,11,12169,6480,0
8957,2,2235,1,14144,1,9026,2235,1
67136,5,29513,2,12336,4,7885,15896,0
23016,4,13736,1,4494,1,2921,13736,1
56859,4,16722,3,2010,2,8818,10775,1
74597,4,20152,2,7686,12,23446,14182,0
50723,2,16016,2,1261,7,8097,10775,1
16231,1,11260,2,9628,0,11255,61,1
34879,1,8341,0,8968,0,8731,8341,1
41982,2,17164,0,6229,3,3057,4299,1
18461,1,6280,2,1374,3,11784,572,1
11751,2,15829,0,6879,2,11001,10295,1
13156,4,10821,0,1670,1,13691,10821,1
44005,2,302,0,8949,0,1493,302,1
3325,3,5656,0,10908,2,8156,5656,1
33140,4,15740,2,18678,2,20140,15740,0
30813,5,19480,1,12996,11,6141,19480,0
46761,3,18202,3,9949,7,7219,10775,1
6078,1,12069,0,14998,0,14992,487,1
40235,2,25418,1,591,9,3770,10775,1
44145,3,20096,3,13839,13,5823,17368,0
21404,4,12562,1,7630,0,3444,8061,1
38667,5,20013,2,18811,9,19093,20013,0
36525,0,4479,2,6465,3,10031,4479,1
50814,5,21695,2,19945,8,9922,14588,0
68887,5,13029,3,17054,11,9870,13029,0
26845,2,12997,1,2552,2,5198,12997,1
10986,0,16257,2,11026,3,9035,3108,1
67869,4,26626,1,5585,9,24825,26243,0
39227,4,3009,2,13695,1,6569,3009,1
9401,1,1466,2,7532,0,14448,1466,1
53595,5,5569,2,18732,2,27259,5569,0
47740,1,12313,0,399,11,3671,760,1
57828,4,11167,2,12422,4,28563,11167,0
65164,5,17094,2,7527,4,7324,5837,0
25145,4,8084,3,13645,11,10413,8084,0
18130,4,4477,1,12658,0,14229,4477,1
72351,5,20053,3,16612,3,21533,8060,0
6857,1,13597,1,5841,2,3163,7315,1
26890,4,24442,1,7316,10,16403,15752,0
55359,5,23149,3,14954,7,29688,16931,0
45241,5,4628,1,9713,7,1222,3976,1
75127,5,9244,2,9249,13,19438,9244,0
34128,1,5961,0,1553,3,12717,5961,1
51071,4,22373,2,8893,7,22083,10799,0
17459,3,18864,0,11292,3,1615,15437,1
27214,5,28410,0,19569,1,24356,10389,0
7205,2,11162,2,6300,1,7395,11162,1
26105,1,19171,0,13956,2,7723,6311,1
74685,3,10003,0,15186,12,28697,10775,1
66735,4,25097,0,7391,9,5246,10775,0
73193,5,10660,1,18976,3,18679,10660,0
33373,3,8652,1,12717,10,17555,8652,0
43882,3,12807,2,12770,15,28840,12807,0
27180,3,20230,2,14640,15,25259,15192,0
39181,5,29406,1,8661,3,14895,10182,0
45364,5,17404,1,16372,10,20913,6291,0
26732,0,5536,1,2259,3,13794,5536,1
40908,5,5614,3,10631,2,18830,5614,0
20369,3,3523,0,5180,0,1505,3523,1
78411,3,20162,2,8985,14,14392,8504,0
25962,2,14140,1,4095,3,3385,14140,1
46957,5,28191,2,6221,13,29132,13824,0
6208,2,17707,1,4710,0,11951,7840,1
41178,4,12191,1,5412,13,17616,12191,0
49083,3,20605,1,19701,6,29437,15047,0
58065,3,6994,1,4206,4,24044,6994,0
27279,2,1751,0,2829,2,2444,1751,1
41698,1,19275,1,13679,1,14550,11191,1
27593,0,15030,1,12347,1,10220,12625,1
25693,3,14305,0,2945,2,2505,14305,1
63383,3,19758,1,9916,12,24830,5871,0
3256,0,4336,1,12835,1,4460,4336,1
40111,2,2830,0,9558,14,26550,10775,0
22898,0,16386,1,4690,3,2454,4525,1
23031,3,14060,3,10309,11,5651,6213,0
25526,1,5672,1,9210,1,635,5672,1
31862,1,13215,0,5782,1,3681,13215,1
48561,3,20605,3,16492,3,17278,6587,0
51188,3,28737,1,11575,13,10046,28719,0
26187,0,9907,1,1124,3,3067,3830,1
36273,1,13725,2,6184,0,7888,488,1
58426,3,18642,3,12186,7,15135,12737,0
37962,1,12531,2,1335,3,3478,1159,1
10880,4,17336,2,9817,0,13321,7378,1
7394,2,3470,3,3352,5,9732,10775,1
13302,0,5210,1,2015,3,2675,5210,1
27984,1,8519,1,19690,3,23115,10655,1
45723,4,7250,2,15633,8,21531,7250,0
17516,3,16152,2,685,1,11634,2291,1
278,1,20703,0,11992,11,28967,10775,0
36712,5,11445,1,7577,13,4842,11445,0
58827,3,26749,3,4946,12,19874,18246,0
47346,5,15128,3,14652,2,21417,15128,0
3417,1,13856,0,11480,3,4999,13856,1
27338,0,11153,2,10876,1,13205,11153,1
38537,1,5333,2,11528,1,14993,5333,1
42024,5,11670,3,10725,14,20107,8718,0
40654,1,374,0,7162,2,9596,374,1
58655,4,19076,2,4956,10,22299,11977,0
28514,0,1804,2,4076,0,12619,1804,1
78966,5,28405,1,16950,7,23885,15468,0
42675,0,17699,2,14423,3,13483,566,1
1350,2,21564,0,10792,9,29699,3790,0
16216,3,5669,0,418,2,5342,789,1
28459,2,19787,0,10392,1,5223,14149,1
44963,5,26360,1,12774,13,17567,18930,0
22619,4,9987,2,12157,10,11340,9987,0
30010,3,7178,3,13009,14,12827,7178,0
59209,3,8165,3,8004,10,24661,8165,0
45591,5,7560,3,5645,12,19790,7560,0
21682,0,19305,2,9066,1,13892,18743,1
33441,2,29886,3,14817,2,28355,10775,1
26712,5,8347,2,7038,6,1909,1001,1
8754,1,18064,2,6307,1,14692,3240,1
5724,1,19510,2,2873,0,1104,6698,1
12005,2,18516,2,11578,2,10414,6614,1
11044,4,12453,2,6721,0,4845,8161,1
74656,4,18418,2,15577,6,5678,18418,0
48874,4,6162,1,16634,10,13672,6162,0
16592,1,3503,1,11965,2,3927,3503,1
35339,3,24225,3,13915,13,21915,12084,0
21998,3,16063,2,16731,8,6328,5775,0
31169,4,29673,3,14904,2,27500,6504,0
30651,1,10542,1,9414,1,8844,4225,1
35347,1,13978,0,19213,5,4218,10775,1
67114,5,18419,2,16329,14,5884,18419,0
42113,4,16991,1,8115,8,12158,14722,0
22850,1,13829,2,10272,1,2267,10686,1
42665,1,15333,0,7277,1,2997,13066,1
26459,4,2067,0,8454,3,393,2067,1
6382,1,4960,2,5176,2,3195,4960,1
76519,3,8952,3,11415,15,28619,8952,0
62340,4,7361,3,14758,8,4882,7361,0
5030,3,17960,2,8758,3,7595,401,1
76606,4,27671,1,15254,12,27958,27671,0
66274,5,12634,3,6506,10,13795,7332,0
21108,4,13551,1,12181,6,24879,13551,0
7561,4,19852,1,10285,3,14032,1240,1
17294,2,9071,1,10945,3,8360,5040,1
38578,1,15163,0,14379,0,12385,9012,1
33448,1,4016,2,14471,1,10234,2715,1
64371,2,20397,1,14989,14,11043,3406,0
42251,2,3402,2,6098,3,13791,3402,1
60745,3,19537,2,16497,7,7034,12002,0
34346,4,14336,2,2144,2,10433,13550,1
66862,3,12831,2,17333,4,24988,8355,0
18800,2,8188,1,14497,0,4990,6006,1
61567,4,13156,2,4467,11,16113,13156,0
24501,3,16716,0,4639,0,136,7387,1
37576,4,13118,1,975,2,10387,5830,1
55907,3,17352,2,18917,12,12624,17352,0
5724,1,11892,1,1285,1,6678,11892,1
36590,4,8862,2,6623,10,23250,8862,0
8492,0,18623,0,13296,2,4624,5084,1
10255,3,9193,1,2942,2,4974,9193,1
16952,1,7016,1,53,2,5277,7016,1
70732,1,8614,2,16686,8,29534,10775,1
46555,5,18464,3,16437,15,16067,16767,0
45723,5,16531,2,15096,3,8803,16531,0
13230,0,23670,1,11086,12,13149,3459,1
66921,3,1901,3,9609,12,3033,10775,0
22135,2,8508,2,14421,0,12589,6124,1
34162,1,11078,0,616,2,13300,11078,1
74689,5,26627,1,4374,8,18100,8883,0
22824,0,13448,2,7124,0,9417,13185,1
24211,3,10852,0,13263,3,11018,820,1
26342,3,7404,1,7104,1,1917,1163,1
15536,4,20379,3,7409,14,1189,10775,0
51645,5,17213,2,17420,5,15207,17213,0
31101,3,26821,1,12503,13,14176,16087,0
39539,4,6499,0,593,1,3803,10775,1
35677,4,23855,2,5145,9,29706,10146,0
24160,2,8036,1,13768,2,10439,8036,1
59542,3,11761,3,16931,12,4380,11761,0
54251,3,13354,1,6734,5,26060,13354,0
44599,4,28803,3,9587,8,28314,21886,0
13592,2,14266,2,12788,3,2999,11459,1
13752,5,14944,2,15988,6,103,10775,1
74130,5,17329,3,6395,4,6604,8759,0
17486,0,19107,2,16446,5,15272,10775,0
30623,5,12445,1,13358,10,5443,12445,0
30358,4,7508,1,17841,9,19879,7508,0
33000,3,9291,1,12674,2,1266,165,1
27580,2,13899,2,11637,3,770,2196,1
73529,5,21881,3,8996,11,19446,7004,0
73898,4,26454,3,6834,12,4575,10265,0
6606,3,274,0,1789,3,13601,274,1
45199,3,23000,1,9698,15,13229,10775,1
25130,5,15181,0,10962,1,12707,10775,1
28752,4,17202,0,4269,2,2203,8284,1
23547,4,8682,3,1698,15,5146,10775,0
39583,3,20059,3,16724,12,10305,20059,0
70394,4,25636,2,4890,12,15329,15830,0
24659,3,3077,1,3697,2,11068,3077,1
37548,4,873,0,6824,3,1557,873,1
34167,4,8222,3,19389,7,24610,8222,0
39776,4,1923,3,10029,15,15239,846,1
34759,3,7835,0,8110,1,12870,4262,1
56036,5,24896,3,15852,7,22327,24896,0
25689,3,21669,2,9144,11,26284,16625,0
78805,4,26448,3,10251,14,21379,15423,0
6383,3,2807,1,1562,0,9249,2807,1
70716,4,12196,2,17164,12,24528,12196,0
11196,3,3891,1,9440,1,9471,3891,1
36535,4,17690,1,14179,2,10475,13297,1
41158,5,19244,1,17431,13,11641,19244,0
32565,3,10310,2,6139,15,29681,10310,0
7634,3,9735,2,12412,1,6676,5140,1
54484,3,12640,1,5305,8,19695,12640,0
12466,3,13533,2,14893,5,14032,6360,0
34323,4,15014,3,15537,5,19194,15014,0
9820,0,5692,1,664,0,3292,5011,1
65040,3,9512,1,15973,2,16494,9512,0
21956,4,4692,3,18446,4,26951,1846,1
40462,2,8773,1,8982,0,12096,8773,1
73084,4,19795,3,13043,3,12020,16357,0
59603,3,29243,1,10373,7,5844,21795,0
65259,3,25610,2,14020,11,11622,12248,0
28564,0,1977,0,8342,3,7930,1977,1
44724,3,12367,2,12349,1,13025,10356,1
47036,5,15037,3,10442,10,27003,15037,0
4328,5,9748,3,3947,6,10711,7623,0
63733,5,17226,1,7144,9,18824,16057,0
71947,3,8576,2,8076,5,5594,8576,0
50203,5,20813,2,4085,13,16334,12713,0
44516,2,26416,2,497,11,29826,981,0
59087,2,12564,2,1916,2,4253,10775,1
78868,3,18009,0,4719,10,29284,10775,1
21477,1,11700,0,13031,2,13969,11700,1
9722,1,14926,1,12149,3,6492,14926,1
47836,5,21140,2,4767,8,18896,21140,0
64387,5,6761,2,18953,11,13094,6761,0
46055,4,16802,1,10677,10,27151,15487,0
34767,1,1835,2,4891,0,14217,1835,1
52210,4,17767,3,13652,11,18259,13357,0
76984,5,13498,1,12379,4,13042,13498,0
16779,0,6459,2,10782,3,10488,6459,1
11119,4,4185,1,14318,2,4046,4185,1
56945,3,20824,1,16449,4,28339,20824,0
24862,5,15323,1,13064,15,26038,10775,1
36771,1,13910,0,12226,2,8546,4909,1
44410,1,8223,0,7510,0,10715,2666,1
22128,4,27614,3,18584,13,7161,27614,0
30847,4,14826,2,13801,15,16848,14826,0
42237,4,13475,1,17278,6,20937,1513,0
66837,5,18745,3,17385,7,18062,18745,0
41823,3,4423,1,4245,0,7262,2039,1
77286,3,5636,0,18788,9,15696,10775,0
74065,4,8164,1,16169,14,8173,8164,0
13148,3,10905,0,16060,9,25054,10775,1
19649,2,12868,2,13866,2,5332,8754,1
45943,2,25931,1,7074,8,20773,10775,0
14405,4,3702,0,11253,1,3278,3702,1
45056,4,19130,1,13505,11,14161,7290,0
47111,3,19589,3,13797,14,17077,19589,0
41506,4,10789,2,8805,2,3897,10789,1
28991,5,5418,2,11341,4,9060,5418,0
69334,2,27537,2,13988,14,22050,10775,1
66573,5,19256,1,10520,6,24494,19256,0
43071,2,8513,0,652,1,4890,1175,1
70091,4,21388,2,16215,3,27000,11976,0
6167,5,15147,1,11883,5,7915,7999,1
44284,3,5608,2,7684,14,24203,5608,0
52443,5,22631,1,9033,8,26897,22631,0
39997,3,22131,1,9722,3,9922,13243,0
29119,1,8777,1,2878,3,5072,8777,1
31650,2,6986,3,19878,15,28727,7935,0
41839,1,4884,2,6768,2,7703,4884,1
24248,2,8472,1,5203,3,4795,8472,1
7418,0,19858,2,11422,3,11368,107,1
24769,2,18730,1,903,1,7679,12902,1
12564,1,4865,1,11953,0,7056,4865,1
53626,3,16749,3,5719,14,485,1716,0
9219,0,9556,0,7460,0,1900,8553,1
78694,3,28717,3,10256,12,22993,7886,0
3205,0,1716,1,4363,1,9510,1716,1
68093,5,11535,1,19780,13,13441,5415,0
39691,4,17396,2,17823,2,4106,17396,0
34504,2,6215,1,7922,1,6398,6215,1
37845,1,12351,0,4566,2,5302,12351,1
33404,5,10497,3,18014,7,28108,6250,0
21054,4,13365,3,4694,15,20402,13365,0
10135,4,16311,2,13232,2,12888,12453,1
69104,4,19793,2,8165,7,6626,15798,0
71150,3,18369,3,12603,15,10300,10775,1
16026,2,11011,3,12728,11,14082,10775,0
75943,1,8554,0,13022,7,21462,8483,0
20018,5,22595,3,5545,2,9184,6436,1
55078,5,6284,3,16034,2,6393,6284,0
69641,4,7184,2,17207,5,11077,5215,0
2986,5,2212,2,6755,7,2568,10775,1
14517,3,9749,2,8762,0,11883,9749,1
2291,4,28373,1,19683,8,25806,10775,0
21038,3,10603,3,18442,3,27281,9526,0
74,5,13565,1,15925,8,29015,4519,0
44490,3,28644,3,19579,8,16264,16799,0
27564,2,9777,2,5763,0,13962,9777,1
2753,0,16373,1,14422,7,12963,10775,1
16709,3,14117,1,10728,1,10782,12565,1
60207,4,13165,2,5131,4,29464,8981,0
44241,3,15440,2,15314,7,21758,14848,0
20844,3,13655,3,19166,11,21571,13655,0
32297,5,22545,3,7538,8,7879,5331,0
19650,0,8992,0,972,0,12754,1725,1
20312,1,10393,0,6641,3,8194,7461,1
29711,4,19780,2,10495,15,15690,18678,0
46007,4,24920,1,19737,6,10424,18807,0
24070,0,10151,1,8357,2,9528,5417,1
27618,4,22863,3,19454,9,17495,22863,0
22892,1,18541,2,7099,0,4973,6418,1
68223,3,18248,3,14379,2,11352,9820,0
43314,4,6369,2,9458,3,7737,6369,1
15902,4,10551,2,8814,0,6231,10551,1
58398,3,13368,2,4637,7,26399,13368,0
17796,4,15215,0,7568,2,11018,15215,1
30774,0,4665,1,9519,2,11286,4665,1
37670,5,1901,2,319,9,23950,10775,0
66963,5,12445,2,4437,5,18740,12445,0
