TotalTime,PictureClicks,PictureTime,PictureDwelling,SummaryClicks,SummaryTime,SummaryDwelling,DescriptionClicks,DescriptionTime,DescriptionDwelling,ReviewClicks,ReviewTime,ReviewDwelling,Return
76844,4,17495,4222,1,24315,8835,4,18848,17426,3,646,646,1
34669,1,19131,19131,4,18662,8996,4,12816,1193,2,4291,4291,1
18379,0,4363,4363,2,24189,448,2,19179,11025,6,24266,15993,1
62331,5,11503,10006,2,16087,6050,2,5132,5132,6,18411,18411,0
49849,4,6501,6501,2,18457,9368,3,11115,11115,2,25226,25226,0
57242,5,25041,21041,3,24984,9228,1,11784,9679,3,27991,27991,0
45016,3,15060,8088,2,17088,3862,1,7623,5997,10,6808,6808,0
3337,1,13353,13353,5,8474,6490,1,18237,17116,6,9408,9408,1
29288,3,13794,9205,3,10470,8162,1,5504,2691,3,4601,4601,1
66498,5,20065,6447,2,22993,5161,1,4782,4782,2,4892,4892,0
40207,4,6252,6252,2,19846,6997,2,6475,6475,14,22994,22994,0
57834,4,25474,21386,3,6381,6381,1,11325,7853,3,29095,12683,0
35758,4,6210,6210,3,3893,3893,2,1865,1865,2,19283,12,1
20006,4,25706,13818,3,10983,4826,1,13667,13667,9,29257,11714,0
21915,2,14627,14627,0,26219,2514,4,3320,3320,4,22822,7684,0
55924,5,10728,10728,3,23267,7656,3,17851,5552,7,6835,6835,0
52678,3,28116,28116,5,21435,4634,4,5348,5348,5,10620,10620,0
29123,1,65,65,6,21854,21854,2,10384,6226,2,7711,6845,1
30840,4,19172,10229,5,15201,14851,1,4760,206,2,18087,829,1
61388,3,5046,5046,1,24646,4436,5,15946,12888,13,7259,7259,1
43667,4,21609,12867,3,21050,7719,3,8208,8208,12,10769,9438,0
30853,0,13742,8031,5,17911,16758,0,11504,1520,3,11219,8423,1
27803,3,15330,15330,4,8348,8061,2,12779,2548,9,10363,3358,1
49502,4,22858,8389,3,23137,4726,1,4591,4591,10,7654,7654,0
51473,3,27225,26683,3,12844,8619,1,5253,5253,3,5395,5395,0
78348,3,8364,8364,2,27033,9198,3,18458,18458,13,29515,10757,0
38866,1,17145,13896,5,16196,16196,2,5649,5649,1,18985,7274,1
11339,0,16266,10304,3,12307,12307,2,7900,3743,0,7019,6856,1
9643,1,11790,2544,3,20295,20295,0,10816,9420,3,14214,4378,1
13686,4,12504,7991,6,18161,18161,2,12421,1207,0,336,336,1
63080,1,10095,10095,5,7934,7934,2,13734,7301,0,2376,2376,1
30563,3,18180,13246,6,27861,27861,1,7183,7183,2,18406,4688,1
58770,0,19034,6270,1,28017,1008,4,8670,6308,10,21944,2122,0
74159,4,25507,20765,3,24009,7126,3,14618,14618,10,12523,12523,0
8014,4,24655,24655,0,7799,5168,3,9429,9429,12,3047,3047,1
47994,4,10176,10176,6,28671,6067,0,1179,1179,13,20172,20172,1
36581,3,16223,13368,2,28982,4850,3,7199,7199,14,21732,21732,0
38555,1,2647,2647,3,21768,21768,1,4456,4456,2,17051,3277,1
30410,1,11702,5240,6,10536,5683,1,5424,3090,1,541,541,1
75566,3,19569,5953,5,4491,4491,5,17971,17124,12,26565,14804,0
17819,4,5227,5227,3,9531,9531,2,7600,7600,3,12561,9245,1
38836,3,20184,5651,3,10423,3912,2,18854,12668,10,18362,18362,0
43110,5,15792,15792,2,6638,4157,1,17024,5294,8,23850,9343,0
14012,0,7722,7722,3,5182,5182,3,12174,1363,11,21280,8791,1
8726,0,20588,3571,6,5525,5501,3,8765,8765,8,17853,17853,0
22594,0,26302,23313,0,15154,8103,5,3501,3501,11,24136,3147,1
62751,4,25347,14433,2,13200,4492,1,10598,10598,13,7529,7529,0
25390,0,14998,7811,5,17583,13043,2,2845,2845,1,12671,3832,1
50874,3,12346,12346,3,17532,7486,2,14411,7668,15,20500,15232,0
46567,5,11726,6538,2,8847,8639,3,17410,15124,7,22057,5689,0
46264,5,15741,15741,3,5418,3235,3,4477,4477,7,28468,5063,0
3606,4,10595,9972,3,7235,7235,0,6893,2239,2,19655,355,1
75109,3,14012,11434,3,25528,8822,2,12266,12266,8,11972,9808,0
43272,0,3468,3468,4,17572,17572,2,6629,4268,1,4478,4478,1
12956,3,25744,1584,5,12196,5080,4,6784,6784,6,1664,1664,1
42246,2,16173,13549,5,22924,22924,0,8087,2196,0,11619,6511,1
53326,3,7721,7721,2,13814,4497,1,4161,4161,8,24359,16227,0
36191,2,5513,5513,3,18236,18236,0,2159,2159,2,1163,1163,1
31411,2,5103,5103,5,10780,3446,1,14665,6326,1,16955,3045,1
39034,0,1825,1825,4,21462,21462,1,11390,9291,2,3640,2723,1
69571,4,21165,21165,3,12618,6136,3,19535,12910,12,10238,10238,0
41896,2,19472,19472,6,17820,7275,3,12150,1395,10,24153,5142,1
72653,5,9016,9016,3,16832,8172,1,7593,7593,15,5360,5360,0
21115,5,10529,10529,0,15353,7880,0,15134,13197,7,4230,1494,1
53582,3,25465,6153,2,19647,6367,1,14735,9839,5,7355,7355,0
22088,0,11604,11604,5,24980,24980,1,8324,1107,1,3972,3972,1
3480,2,21941,16626,2,6445,4604,1,4592,4592,6,7129,3236,0
57780,4,10820,5559,3,26626,6564,2,13482,13482,10,17774,17774,0
30301,0,19143,5375,3,16461,571,1,14774,633,3,5701,5462,1
57010,3,28969,23450,3,23244,5276,1,5360,5360,12,20605,15324,0
7620,4,15010,14562,6,22670,22670,0,3043,3043,3,6495,5004,1
17241,4,8994,8994,6,11945,11945,0,732,732,0,10215,831,1
77175,3,20419,20419,3,16884,7054,1,7999,7999,4,5019,5019,0
67240,1,17414,16191,5,6182,6182,0,19129,4879,13,18914,17536,0
62891,3,21942,21942,2,18366,5340,2,7566,5507,3,7284,7284,0
9051,4,10102,6256,6,16023,16023,0,2525,2525,0,12923,3564,1
39569,4,18523,18523,2,26852,9144,1,5546,5546,12,16607,5875,0
38255,1,354,354,3,29200,29200,2,4927,4927,0,1561,1561,1
61446,3,2255,2255,1,28298,2109,4,7433,2724,5,1570,1570,1
37255,2,15498,7583,6,22600,22600,0,13656,8464,0,3680,3680,1
62413,4,12631,12631,2,10639,6766,2,7680,6142,11,11673,11673,0
10972,0,18893,17359,5,23095,23095,1,690,690,3,13266,7756,1
3707,1,8350,4309,0,15476,2978,2,18876,6393,14,17993,4398,0
35145,3,17120,17120,3,20481,5260,3,12870,10843,12,6017,6017,0
44478,1,11994,11994,4,29932,29932,1,6191,1662,0,18647,4721,1
51093,4,6338,6338,2,23237,7102,2,12406,10524,7,9341,9341,0
31850,1,14347,14347,3,25664,25664,1,7965,6132,0,1337,1337,1
43118,0,8657,2614,4,18795,8066,0,9024,7584,3,8312,8312,1
32681,3,15439,9056,4,22166,22166,0,2600,2600,0,19342,1949,1
12371,2,2225,180,3,6465,1445,3,13469,3995,8,6390,3667,1
18478,2,6292,924,5,15831,15831,2,2640,2640,2,14479,2371,1
23786,3,12447,7992,6,13769,10761,1,2613,2613,2,7568,7568,1
7713,4,10641,10641,5,8777,5312,3,17709,17335,5,2714,2714,0
38345,1,3029,3029,3,10397,6520,4,11338,2337,2,20065,20065,0
5212,3,5900,2644,6,2170,2137,1,10875,2880,0,1453,1453,1
69170,5,6876,6876,1,16228,7587,4,6328,2840,13,4210,4210,0
41268,3,28913,21046,3,10468,8482,2,10358,10358,2,7295,7295,0
79555,4,7989,7989,2,409,409,3,15929,9411,3,1824,1824,0
65854,4,18913,18250,2,11439,8783,3,9695,9695,4,20747,14740,0
31998,3,24352,24352,2,19470,8564,3,9014,5038,7,12669,12669,0
27171,3,5264,5264,5,5497,5399,0,7675,3863,0,5534,5534,1
14351,3,6834,6834,6,12065,2669,0,11876,9424,0,17649,8730,1
34677,0,692,692,3,19916,5792,2,2796,1123,2,7150,1121,1
34543,0,17113,15014,6,25893,25893,1,7413,286,3,18131,7141,1
66981,3,29985,13481,4,423,423,0,11561,4176,3,27041,26006,0
39111,3,21545,13308,3,8314,4093,1,11218,10625,5,28311,18085,0
44829,5,18517,17251,3,10764,8475,2,10217,10217,10,15056,15056,0
63162,3,13017,13017,5,28882,9747,2,2382,2382,11,28595,16937,0
